icc,ci_lo,ci_hi,icc3_consistency,icc3_ci_lo,icc3_ci_hi,paradigm,feature_name,stratum
0.8252592332871416,0.8,0.85,0.8296720176171515,0.81,0.85,biomedclip,d0002,good
0.8252689977534308,0.8,0.85,0.828916783247469,0.81,0.85,biomedclip,d0003,good
0.8117127948695767,0.79,0.84,0.8127115620338518,0.79,0.84,biomedclip,d0004,good
0.8417191437220835,0.82,0.86,0.8479984685918812,0.83,0.87,biomedclip,d0005,good
0.7572495658105063,0.73,0.79,0.7570048136054895,0.73,0.79,biomedclip,d0006,good
0.8152236834018086,0.79,0.84,0.8220341224847647,0.8,0.84,biomedclip,d0007,good
0.7826058961736791,0.75,0.81,0.7840635280592314,0.76,0.81,biomedclip,d0008,good
0.8304246142203108,0.81,0.85,0.8357337531785356,0.81,0.86,biomedclip,d0009,good
0.8045493767307483,0.78,0.83,0.805307028121669,0.78,0.83,biomedclip,d0010,good
0.8519584521446202,0.83,0.87,0.8578057638416069,0.84,0.88,biomedclip,d0011,good
0.7765217341584186,0.75,0.8,0.7763971202392825,0.75,0.8,biomedclip,d0012,good
0.8036557620832834,0.78,0.83,0.8084154857629147,0.78,0.83,biomedclip,d0013,good
0.788112854072231,0.76,0.81,0.7893239185020727,0.76,0.82,biomedclip,d0014,good
0.8610979222257268,0.83,0.89,0.8823640742717014,0.87,0.9,biomedclip,d0015,good
0.7705067073499571,0.74,0.8,0.7707970070368437,0.74,0.8,biomedclip,d0016,good
0.7815006822981381,0.75,0.81,0.7878503055929108,0.76,0.81,biomedclip,d0017,good
