paradigm,feature_name,icc3_1,icc3_1_ci_lo,icc3_1_ci_hi,stratum_from_icc2_1
biomedclip,d0103,0.7701811240504037,0.74,0.8,good
biomedclip,d0104,0.7448499693215621,0.71,0.78,moderate
biomedclip,d0105,0.823085496812201,0.8,0.85,good
biomedclip,d0106,0.778215377889361,0.75,0.81,good
biomedclip,d0107,0.8590416975116542,0.84,0.88,good
biomedclip,d0108,0.8197201300220583,0.8,0.84,good
biomedclip,d0109,0.7157750469556565,0.68,0.75,moderate
biomedclip,d0110,0.8315847263523952,0.81,0.85,good
biomedclip,d0111,0.7510098489535001,0.72,0.78,moderate
biomedclip,d0112,0.8233769711943482,0.8,0.85,good
biomedclip,d0113,0.7924096853898467,0.77,0.82,good
biomedclip,d0114,0.8167124962491031,0.79,0.84,good
biomedclip,d0115,0.8492304217363077,0.83,0.87,good
biomedclip,d0116,0.7954458733082441,0.77,0.82,good
biomedclip,d0117,0.8007629017094534,0.77,0.83,good
biomedclip,d0118,0.7421010540624414,0.71,0.77,moderate
biomedclip,d0119,0.7912826997375131,0.76,0.82,good
biomedclip,d0120,0.8580630212279001,0.84,0.88,good
biomedclip,d0121,0.821975411035275,0.8,0.84,good
biomedclip,d0122,0.8354698031652601,0.81,0.86,good
biomedclip,d0123,0.7985349567577412,0.77,0.82,good
biomedclip,d0124,0.8529722139936388,0.83,0.87,good
biomedclip,d0125,0.7467759851464574,0.72,0.78,moderate
biomedclip,d0126,0.805768104520455,0.78,0.83,good
biomedclip,d0127,0.7747895205349589,0.75,0.8,good
biomedclip,d0128,0.8108130267842203,0.79,0.83,good
biomedclip,d0129,0.901424562779002,0.89,0.91,good
biomedclip,d0130,0.8065789763164262,0.78,0.83,good
biomedclip,d0131,0.8245550309936004,0.8,0.85,good
biomedclip,d0132,0.8113018558475221,0.79,0.84,good
biomedclip,d0133,0.7543744520035459,0.72,0.78,good
biomedclip,d0134,0.813493953047322,0.79,0.84,good
biomedclip,d0135,0.8407595460256828,0.82,0.86,good
biomedclip,d0136,0.7338486351156394,0.7,0.77,moderate
biomedclip,d0137,0.7677665002714643,0.74,0.8,good
biomedclip,d0138,0.7403339477317041,0.71,0.77,moderate
biomedclip,d0139,0.7923674470313425,0.77,0.82,good
biomedclip,d0140,0.9099905827656084,0.9,0.92,good
